,Stock Invested in,Sector,Value(Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty
70,C.E. Info Systems Ltd.,It enabled services – software,183.8,0.62%,0.00%,0.76% (Dec 2021),0% (Sep 2021),1.36 L,0.00
71,Home First Finance Company India Ltd.,Housing finance,176.1,0.60%,0.07%,0.6% (Aug 2022),0.35% (Sep 2021),1.82 L,0.00
72,Zydus Wellness Ltd.,Consumer products,145.2,0.49%,-0.02%,0.94% (Sep 2021),0.49% (Mar 2022),90.70 k,0.00
73,Nuvoco Vistas Corporation Ltd.,Cement,133.5,0.45%,0.02%,0.45% (Aug 2022),0% (Sep 2021),3.71 L,0.00
74,Fino Payments Bank Ltd.,Nbfc,131.6,0.45%,-0.03%,0.78% (Nov 2021),0% (Sep 2021),5.01 L,0.00
75,IFGL Refractories Limited,Refractories,129.2,0.44%,-0.05%,0.53% (Jun 2022),0.08% (Mar 2022),5.00 L,0.00
76,Shyam Metalics and Energy Ltd.,Steel,128.3,0.43%,-0.02%,0.55% (Mar 2022),0.43% (Aug 2022),4.25 L,0.00
77,JM Financial Ltd.,Stockbroking and allied,128,0.43%,-0.01%,1.37% (Sep 2021),0.43% (Aug 2022),20.00 L,0.00
78,"-
IFB Industries Ltd",Home appliances,123.9,0.42%,-0.01%,1.14% (Oct 2021),0.42% (Aug 2022),1.21 L,0.00
79,Granules India Ltd.,Pharmaceuticals,122.4,0.41%,-0.01%,0.42% (Jul 2022),0% (Sep 2021),4.00 L,0.00
80,Medplus Health Services Ltd.,Speciality retail,117.8,0.40%,-0.04%,0.77% (Feb 2022),0% (Sep 2021),1.60 L,-9.76 k
81,"-
Aether Industries Ltd.",Chemicals - speciality,114.3,0.39%,-0.01%,0.41% (Jun 2022),0% (Sep 2021),1.32 L,0.00
82,Balrampur Chini Mills Ltd.,Sugar,107.1,0.36%,-0.06%,0.63% (Feb 2022),0% (Sep 2021),3.05 L,0.00
83,Pricol Ltd.,Auto ancillaries,92.2,0.31%,0.03%,0.31% (Aug 2022),0% (Sep 2021),5.32 L,0.00
84,Gulshan Polyols Ltd.,Chemicals - organic,84.7,0.29%,-0.03%,0.38% (Mar 2022),0% (Sep 2021),3.06 L,0.00
85,Johnson Controls-Hitachi Air Conditioning India Ltd.,Air conditioner,59.9,0.20%,0.00%,0.59% (Sep 2021),0.2% (Aug 2022),37.72 k,0.00
86,Patanjali Foods Ltd.,Consumer food,55.1,0.19%,0.01%,0.99% (Apr 2022),0% (Sep 2021),45.08 k,0.00
87,Chalet Hotels Ltd.,Hotels/resorts,54.4,0.18%,0.00%,0.2% (Jun 2022),0% (Sep 2021),1.69 L,0.00
88,Suryoday Small Finance Bank Ltd.,Banks,52.9,0.18%,0.01%,0.35% (Oct 2021),0.16% (Jun 2022),5.16 L,0.00
89,Tata Metaliks Ltd.,Pig iron,49.1,0.17%,-0.34%,1.77% (Sep 2021),0.17% (Aug 2022),63.50 k,-1.42 L
90,"-
Carborundum Universal Ltd.",Abrasives,48.1,0.16%,0.00%,0.16% (Aug 2022),0% (Sep 2021),56.96 k,0.00
91,Prudent Corporate Advisory Services Ltd.,Stockbroking and allied,42.2,0.14%,0.01%,0.15% (May 2022),0% (Sep 2021),68.89 k,0.00
92,DCB Bank Ltd.,Banks,34.3,0.12%,-0.41%,0.76% (Sep 2021),0.12% (Aug 2022),3.64 L,-0.13 Cr
93,"-
Akzo Nobel India Ltd.",Paints,0.5,0.00%,0.00%,0% (Aug 2022),0% (Sep 2021),245.00,0.00
94,Fine Organic Industries Ltd.,Chemicals - speciality,101.5,0.00%,-0.36%,-,-,-,-
